year,utility_id,utility_name,state,county_name
2009,34,Abbeville City of,SC,Abbeville
2009,55,Aberdeen City of,MS,Monroe
2009,59,City of Abbeville,LA,Vermilion
2009,84,A & N Electric Coop,MD,Somerset
2009,84,A & N Electric Coop,VA,Accomack
2009,84,A & N Electric Coop,VA,Northampton
2009,87,City of Ada,MN,Norman
2009,97,Adams Electric Coop,IL,Adams
2009,97,Adams Electric Coop,IL,Brown
2009,97,Adams Electric Coop,IL,Schuyler
2009,108,Adams-Columbia Electric Coop,WI,Adams
2009,108,Adams-Columbia Electric Coop,WI,Columbia
2009,108,Adams-Columbia Electric Coop,WI,Dane
2009,108,Adams-Columbia Electric Coop,WI,Dodge
2009,108,Adams-Columbia Electric Coop,WI,Green Lake
2009,108,Adams-Columbia Electric Coop,WI,Jefferson
2009,108,Adams-Columbia Electric Coop,WI,Marquette
2009,108,Adams-Columbia Electric Coop,WI,Portage
2009,108,Adams-Columbia Electric Coop,WI,Sauk
2009,108,Adams-Columbia Electric Coop,WI,Waupaca
2009,108,Adams-Columbia Electric Coop,WI,Waushara
2009,108,Adams-Columbia Electric Coop,WI,Wood
2009,118,"Adams Rural Electric Coop, Inc",OH,Adams
2009,118,"Adams Rural Electric Coop, Inc",OH,Brown
2009,118,"Adams Rural Electric Coop, Inc",OH,Highland
2009,118,"Adams Rural Electric Coop, Inc",OH,Pike
2009,118,"Adams Rural Electric Coop, Inc",OH,Scioto
2009,122,Village of Arcade,NY,Cattaraugus
2009,122,Village of Arcade,NY,Erie
2009,122,Village of Arcade,NY,Wyoming
2009,123,City of Adel,GA,Cook
2009,123,City of Adel,GA,Tift
2009,149,City of Afton,IA,Union
2009,150,Adrian Public Utilities Comm,MN,Nobles
2009,155,Agralite Electric Coop,MN,Big Stone
2009,155,Agralite Electric Coop,MN,Pope
2009,155,Agralite Electric Coop,MN,Stevens
2009,155,Agralite Electric Coop,MN,Swift
2009,157,Town of Advance,IN,Boone
2009,162,Aiken Electric Coop Inc,SC,Aiken
2009,162,Aiken Electric Coop Inc,SC,Barnwell
2009,162,Aiken Electric Coop Inc,SC,Calhoun
2009,162,Aiken Electric Coop Inc,SC,Edgefield
